text	label
that is accurate	yes
i need to switch to a new insurance plan	insurance_change
please put annie's baby shower on march 30 in my calendar	calendar_update
what's the average time it takes for a new card to arrive	replacement_card_duration
certainly not	no
will i need a visa to go to moldova	international_visa
yes, that's right	yes
has there been any changes in the status of my credit card application	application_status
how long should i fry an egg for	cook_time
how long is the drive from sfo to fisherman's wharf	distance
i'm too drunk to drive and need an uber home	uber
what is my annual percentage rate	interest_rate
call aj	make_call
that is incorrect	no
i need to get some assistance figuring out how to rollover my 401k, please	rollover_401k
please put babysitting on my to do list	todo_list_update
is there a charge to use my card in france	international_fees
are you working for me or what	who_do_you_work_for
i need to know when i was paid last	payday
what's the updated status of my order	order_status
what should i do now that my car battery is dead	jump_start
what do i do to set up a vacation	pto_request
i vote yes	yes
tell me the number of points on my visa card	rewards_balance
i'd like to add pancake mix to my shopping list if it's not already there	shopping_list_update
do i have transaction fees if i use my american card internationally	international_fees
i wanna switch to the male voice	change_accent
find my current location	current_location
what timezone is phoenix in	timezone
i'm looking for a flight from billings to cleveland on may 2 and a return on may 9	book_flight
would you mind switching to whisper mode	whisper_mode
how many calories are in oranges	calories
do i have brush my teeth on my todo list	todo_list
can i ask your name	what_is_your_name
it could be either	maybe
what exactly is my credit limit	credit_limit
can you let me listen to elvis	play_music
visa's are hard to get do i need one when i travel to israel	international_visa
clear my calendar on march 1st	calendar_update
let me pick your brain what do you think we should do for dinner tonight	meal_suggestion
i'm out of bananas; add to shopping list	shopping_list_update
is my day off request approved	pto_request_status
roll the five sided die	roll_dice
what's the timezone over there	timezone
i would like to change my insurance from a ppo to an hmo plan	insurance_change
i wanna know when should i get my tires changed next	tire_change
what is good riddance mean	definition
why can't i log into my bank account	account_blocked
will i be charged if i use the card in italy	international_fees
how many calories are in a bag of regular doritos	calories
you talk too slow	change_speed
what name do you go by	what_is_your_name
which ingredients does gumbo have	ingredients_list
when can i start boarding my flight	flight_status
thanks, bye	goodbye
let's add wonder by hillsong united to my playlist	update_playlist
what are some good southern bbq restaurants in nashville	restaurant_suggestion
can you show me transactions related to utilities	transactions
"i want to hear the song that has, ""baby shark, doo doo"	play_music
can i increase my credit limit from 1000 to 2000 please	credit_limit_change
when will my credit card app be approved	application_status
how is everything with you	greeting
i need you to flip a coin once	flip_coin
how do i check my rewards for my chase card	rewards_balance
to vacation to tel aviv do i need a travel visa	international_visa
who is it that you work for	who_do_you_work_for
can you get me any recommendations for the place i'm traveling to	travel_suggestion
i want a hotel with good review in honolulu, can you find one	book_hotel
when will i need my next oil change	oil_change_when
what are your favorite hobbies to take part in	what_are_your_hobbies
please cancel the table for two at burger king	cancel_reservation
i need to know the date in 256 days	date
tell me about my health insurance	insurance
i need to obtain and uber	uber
on my shopping list, remove eggs	shopping_list_update
do i have reservations at creme at 7 pm	confirm_reservation
can you suggest some quality chinese restaurants in oklahoma city	restaurant_suggestion
how long does it take to get to the airport in dallas	distance
what is three quarters of one sixth	calculator
i would like to try and confirm that i have a reservation at macaroni grill for silva	confirm_reservation
what animals await you at home	do_you_have_pets
what's the amount due on my vet and vehicle registration bills	bill_balance
please increase your speaker volume	change_volume
find instructions for how to change the oil in a 2015 passat	oil_change_how
please speak faster	change_speed
thanks for that!	thank_you
how do you say your name	what_is_your_name
how many days until my amex card reaches it expiration date	expiration_date
how long until my milk expires	food_last
please put a block on my us bank account immediately	freeze_account
look up the song that's on right now	what_song
i need the time zone for la	timezone
how are you named	what_is_your_name
i have had farm fresh eggs in the fridge for a few months, are they still okay to ingest	food_last
let me know the list of transaction on my first hawaiian bank	transactions
can you book a car rental today to new york city to philadelphia	car_rental
i must pay my cable bill from my checking account	pay_bill
i would love to know the closest gas station to glendale	directions
what date will my next paycheck be here	payday
will i have enough to get a new roku with my savings account	balance
i think my luggage has been lost	lost_luggage
book an oil change please	schedule_maintenance
why am i seeing a hold on my charles schwab account	account_blocked
tell me when was car in shop	last_maintenance
when will i need to change my oil again	oil_change_when
what is the amount of gas in my car	gas
talk faster	change_speed
does my card have an expiration date and if so, what is it	expiration_date
do you have a list of shots that i need for traveling to denmark	vaccines
what did i ask you to remind me of	reminder
i need to know how many vacation days i have	pto_balance
can you book me a hotel in los angeles near commerce casino from april 1st to the 5th	book_hotel
i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020	book_hotel
tell me the date of my last car check up	last_maintenance
can you put on music by beach house	play_music
on tuesday you are supposed to have a meeting	calendar
how much paid time off do i have saved	pto_balance
are you a person that's real	are_you_a_bot
what festivals are there to see in paris	travel_suggestion
i need to know if i must have an international visa to go to france	international_visa
i need to know the travel alerts for kenya	travel_alert
do i have any remaining pto days	pto_balance
is my phone somewhere around here	find_phone
my card expires in what month	expiration_date
tell me the status of flight dl123	flight_status
check to see if picking up glenn from the airport is on my list of reminders	reminder
can you tell me where my phone is	find_phone
tell me what cyst means	definition
i need help finding the apr on my aspire loan	interest_rate
i need a hotel room for 4 people in lakewood from monday to wednesday	book_hotel
i want to know the status of my vacation request	pto_request_status
the pin number to my card has been forgotten	pin_change
what's next on the list	next_song
let me know when it's been 5 minutes	timer
please tell me the name i should use when talking to you	what_is_your_name
what do you use when you make a chef's salad	ingredients_list
make my settings go back to their factory settings	reset_settings
does the state department say anything about traveling to haiti	travel_alert
i want know about carry-on for frontier	carry_on
what mpg does this car get on the highway	mpg
can you tell me what 30% off 279 is	calculator
add eggs to my shopping list if it's not already there	shopping_list_update
will my 401k carryover	rollover_401k
tell the restaurant to cancel my reservation	cancel_reservation
change settings to sound like a female	change_accent
what meetings do i have today from 3 to 4	meeting_schedule
how is the temperature at ac	smart_home
whats your name	what_is_your_name
could you tell me what my credit score is	credit_score
can you tell bob to get his dog via text	text
after how long should i change my oil	oil_change_when
when's the next federally recognized holiday	next_holiday
why did macy's decline my card	card_declined
what are some things you like doing	what_are_your_hobbies
how many cups in a quart	measurement_conversion
what is my savings balance	balance
what do you know me as	user_name
what time is my next paycheck coming	payday
i need you to act swiftly and freeze all activity on my capital one checking	freeze_account
