ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
28.05,13.11,49.05,banking,KM,glove,0.75,0.1,1.0,0
28.9,13.4,49.15,banking,KM,glove,0.75,0.1,1.0,1
27.95,12.89,48.49,banking,KM,glove,0.75,0.1,1.0,2
26.69,11.82,47.75,banking,KM,glove,0.75,0.1,1.0,3
27.99,12.49,49.31,banking,KM,glove,0.75,0.1,1.0,4
27.6,12.76,48.91,banking,KM,glove,0.75,0.1,1.0,5
28.47,13.33,49.67,banking,KM,glove,0.75,0.1,1.0,6
28.41,13.41,49.49,banking,KM,glove,0.75,0.1,1.0,7
29.68,13.22,49.21,banking,KM,glove,0.75,0.1,1.0,8
27.99,12.4,49.19,banking,KM,glove,0.75,0.1,1.0,9
46.93,28.27,71.18,clinc,KM,glove,0.75,0.1,1.0,0
45.56,28.05,71.36,clinc,KM,glove,0.75,0.1,1.0,1
45.47,26.94,70.56,clinc,KM,glove,0.75,0.1,1.0,2
45.73,28.79,71.49,clinc,KM,glove,0.75,0.1,1.0,3
44.89,26.48,70.21,clinc,KM,glove,0.75,0.1,1.0,4
44.09,27.11,70.6,clinc,KM,glove,0.75,0.1,1.0,5
44.76,26.78,70.9,clinc,KM,glove,0.75,0.1,1.0,6
47.11,28.1,71.2,clinc,KM,glove,0.75,0.1,1.0,7
45.2,28.37,71.14,clinc,KM,glove,0.75,0.1,1.0,8
47.02,27.62,71.26,clinc,KM,glove,0.75,0.1,1.0,9
31.17,14.57,52.89,banking,AG,glove,0.75,0.1,1.0,0
30.23,14.16,52.45,banking,AG,glove,0.75,0.1,1.0,1
31.4,13.33,52.52,banking,AG,glove,0.75,0.1,1.0,2
31.07,15.04,53.0,banking,AG,glove,0.75,0.1,1.0,3
32.05,14.97,52.94,banking,AG,glove,0.75,0.1,1.0,4
31.49,15.52,53.46,banking,AG,glove,0.75,0.1,1.0,5
30.19,13.18,52.11,banking,AG,glove,0.75,0.1,1.0,6
31.79,15.52,53.35,banking,AG,glove,0.75,0.1,1.0,7
32.01,14.95,53.13,banking,AG,glove,0.75,0.1,1.0,8
30.62,13.04,52.77,banking,AG,glove,0.75,0.1,1.0,9
43.78,27.25,71.92,clinc,AG,glove,0.75,0.1,1.0,0
44.0,26.65,71.98,clinc,AG,glove,0.75,0.1,1.0,1
44.53,27.51,72.32,clinc,AG,glove,0.75,0.1,1.0,2
44.18,26.3,71.97,clinc,AG,glove,0.75,0.1,1.0,3
44.76,29.03,72.89,clinc,AG,glove,0.75,0.1,1.0,4
44.36,27.61,72.57,clinc,AG,glove,0.75,0.1,1.0,5
43.87,26.65,72.04,clinc,AG,glove,0.75,0.1,1.0,6
44.13,26.16,72.09,clinc,AG,glove,0.75,0.1,1.0,7
44.58,27.67,72.48,clinc,AG,glove,0.75,0.1,1.0,8
44.13,27.38,72.13,clinc,AG,glove,0.75,0.1,1.0,9
