ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
31.17,14.57,52.89,banking,AG,glove,0.75,0.1,1.0,0
30.23,14.16,52.45,banking,AG,glove,0.75,0.1,1.0,1
31.4,13.33,52.52,banking,AG,glove,0.75,0.1,1.0,2
31.07,15.04,53.0,banking,AG,glove,0.75,0.1,1.0,3
32.05,14.97,52.94,banking,AG,glove,0.75,0.1,1.0,4
31.49,15.52,53.46,banking,AG,glove,0.75,0.1,1.0,5
30.19,13.18,52.11,banking,AG,glove,0.75,0.1,1.0,6
31.79,15.52,53.35,banking,AG,glove,0.75,0.1,1.0,7
32.01,14.95,53.13,banking,AG,glove,0.75,0.1,1.0,8
30.62,13.04,52.77,banking,AG,glove,0.75,0.1,1.0,9
43.78,27.25,71.92,clinc,AG,glove,0.75,0.1,1.0,0
44.0,26.65,71.98,clinc,AG,glove,0.75,0.1,1.0,1
44.53,27.51,72.32,clinc,AG,glove,0.75,0.1,1.0,2
44.18,26.3,71.97,clinc,AG,glove,0.75,0.1,1.0,3
44.76,29.03,72.89,clinc,AG,glove,0.75,0.1,1.0,4
44.36,27.61,72.57,clinc,AG,glove,0.75,0.1,1.0,5
43.87,26.65,72.04,clinc,AG,glove,0.75,0.1,1.0,6
44.13,26.16,72.09,clinc,AG,glove,0.75,0.1,1.0,7
44.58,27.67,72.48,clinc,AG,glove,0.75,0.1,1.0,8
44.13,27.38,72.13,clinc,AG,glove,0.75,0.1,1.0,9
