text	label
listen to westbam alumb allergic on google music	PlayMusic
add step to me to the 50 clásicos playlist 	AddToPlaylist
i give this current textbook a rating value of 1 and a best rating of 6	RateBook
play the song little robin redbreast	PlayMusic
please add iris dement to my playlist this is selena	AddToPlaylist
add slimm cutta calhoun to my this is prince playlist  	AddToPlaylist
i want to listen to seventies music 	PlayMusic
play a popular chant by brian epstein	PlayMusic
find fish story 	SearchScreeningEvent
book a spot for 3 in mt	BookRestaurant
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now	GetWeather
rate this series a 5	RateBook
give me a list of movie times for films in the area 	SearchScreeningEvent
can you play me some eighties music by adele	PlayMusic
please let me know the weather forcast of stanislaus national forest far in nine months	GetWeather
book a restaurant for eight people in six years   	BookRestaurant
i need to book a restaurant in fork mountain  sc for valarie  mari and i	BookRestaurant
add to playlist confidence boost here comes santa claus	AddToPlaylist
book a restaurant at sixteen o clock in sc	BookRestaurant
add another artist to the spotlight on country 2016 playlist  	AddToPlaylist
find a movie house showing cage without a key	SearchScreeningEvent
add sugarolly days to my list  your favorite slaughterhouse	AddToPlaylist
show me the picture creatures of light and darkness	SearchCreativeWork
search for the adventures of cookie & cream	SearchCreativeWork
add this track to my global funk	AddToPlaylist
find animated movies nearest at a movie house	SearchScreeningEvent
play hell house song	SearchCreativeWork
give this novel 5 stars	RateBook
find me showtimes for animated movies in the neighbourhood 	SearchScreeningEvent
find movie times	SearchScreeningEvent
play the top-20 best chicane songs on deezer	PlayMusic
i want to give this current textbook 4 points 	RateBook
add manuelita to my indiespensables playlist	AddToPlaylist
show movie schedules for douglas theatre company	SearchScreeningEvent
i d like to see the show onion sportsdome 	SearchCreativeWork
i d like to go to the popular bistro in oh	BookRestaurant
what s the weather in my current spot the day after tomorrow	GetWeather
play playlist the realest down south	PlayMusic
add this artist to gretchen s soul revived playlist	AddToPlaylist
find a video game called victory march	SearchCreativeWork
find a novel called industry 	SearchCreativeWork
book a taverna that serves vichyssoise within walking distance in oh	BookRestaurant
let me see the movie schedule for seed of chucky	SearchScreeningEvent
play a chant by mj cole	PlayMusic
what is the weather like in the city of frewen in the country of venezuela	GetWeather
put this song on my playlist  in the name of blues 	AddToPlaylist
will it be colder in ohio	GetWeather
rate this album a 1	RateBook
in the area find some films	SearchScreeningEvent
what times will the young swordsman be showing at a local cinema	SearchScreeningEvent
book a brasserie for one	BookRestaurant
play all of your toys by chris ledoux	PlayMusic
i want to hear a joel hastings melody  	PlayMusic
i want to book a restaurant not far from our college 	BookRestaurant
rate in stars as a 6 for lord of the shadows which gets a four	RateBook
add rak biszewilo to my playlist named jazz	AddToPlaylist
rate my current book 1 out of 6	RateBook
what is the weather not far from upper klamath national wildlife refuge	GetWeather
add falling upstairs to the playlist named chill out	AddToPlaylist
will it storm in charles pinckney national historic site	GetWeather
play techno on lastfm	PlayMusic
add the entire album into indie español	AddToPlaylist
for the textbook  out of 6 possible i give the following one a 3 	RateBook
show me the movie schedule for star theatres	SearchScreeningEvent
please find the movie dancing girl	SearchCreativeWork
rate this book 0 out of 6	RateBook
is happy ghost iii at caribbean cinemas	SearchScreeningEvent
play theme by yanni on vimeo	PlayMusic
rate the current novel a 3 	RateBook
can you pull up a track on zvooq by graham mcpherson	PlayMusic
find resurrection of evil 	SearchCreativeWork
find playstation官方杂志  a song	SearchCreativeWork
rate the current essay 2 out of 6	RateBook
add this album to the playlist called dishwashing	AddToPlaylist
find young miss holmes	SearchCreativeWork
i give christianity not mysterious 1 out of 6 points 	RateBook
i d like to go to the venetian theatre in gabon  party of seven	BookRestaurant
is it supposed to rain nearby my current location at 0 o clock	GetWeather
give zero / 6 stars to the current album	RateBook
put playa fly onto my 2010 decade playlist	AddToPlaylist
show me the painting called fool for love 	SearchCreativeWork
rate what the dog saw a two	RateBook
find a video game called a stroll in the pork	SearchCreativeWork
add bret mckenzie to my pop commute playlist	AddToPlaylist
what is the weather supposed to be like in new jersey three months from now	GetWeather
find the song called international journal of bilingualism	SearchCreativeWork
what films are playing at goodrich quality theaters	SearchScreeningEvent
i rated the island of adventure saga a 2 of 6	RateBook
i m looking for the trailer of highlands today	SearchCreativeWork
add this song to my playlist named wild country	AddToPlaylist
rate the princess mouse: a tale of finland one of 6	RateBook
search for police women of cincinnati	SearchCreativeWork
add artist to lo mejor de los 00 s	AddToPlaylist
i d like johnny nash to be put into my playlist always pop punk	AddToPlaylist
find the they came from somewhere else saga	SearchCreativeWork
i want to watch the television show naked ii	SearchCreativeWork
book a reservation for a pub with ma po tofu in moldova	BookRestaurant
show the three tales album	SearchCreativeWork
put this album in shuffle syndrome	AddToPlaylist
book me seats for 6 at the best brasserie that serves marche neighboring my hostel	BookRestaurant
play caitlin cary from the fourties	PlayMusic
add a track to my hands up playlist 	AddToPlaylist
i d like to see the saga tamagotchi 64: minna de tamagotchi world	SearchCreativeWork
give the search for the snow leopard a rating of zero of 6 stars	RateBook
for the book tale of the toa i give five points 	RateBook
will it be warmer now in covenant life	GetWeather
play rap album one by gene vincent 	PlayMusic
i want to book the hat for my grandfather and i in arkansas 	BookRestaurant
book a tea place at seven	BookRestaurant
find the movie schedule for animated movies around here 	SearchScreeningEvent
add rosemary clooney to pura vida playlist	AddToPlaylist
i need a reservation for 6 pm  with a party of 10 at sand lake	BookRestaurant
what is the picture called lest we forget: the best of	SearchCreativeWork
