text	label
one magnificent mile  or one mag mile  is a mixed use high rise tower completed in 1983 at the northern end of michigan avenue on the magnificent mile in chicago containing upscale retailers on the ground floor followed by office space above that and luxury condominium apartments on top	7
hyena is the name of a soundtrack released in 2006 for the broadcasting station tvn drama hyena   featuring kim min jong and yoon da hoon	12
caesar rodriguez is an artist who has worked as a colorist in the comics industry	3
iao chant from the melting paraiso underground freak out is an album by acid mothers temple the melting paraiso u f o released by riot season in 2012 the album contains one piece divided into two approximately 20 minute long parts based on the gong song master builder	12
dimension intrusion is an album released by f u s e aka richie hawtin as the fifth release on warp 's artificial intelligence series in 1993	12
the edinburgh middle east report  arabic:  often abbreviated to emer is scotland 's only periodical dedicated to the middle east	14
the universidad aut noma de ciudad ju rez  uacj   autonomous university of ciudad ju rez  is a university in ciudad ju rez chihuahua mexico	2
al humayra  arabic:  is a syrian village in the an nabek district of the rif dimashq governorate according to the syria central bureau of statistics  cbs  al humayra had a population of 1740 in the 2004 census	9
the lady who dared is a 1931 american drama film directed by william beaudine and starring billie dove sidney blackmer and conway tearle print survival library of congress and turner	13
park chong hwa  hangul:  is an early modern korean novelist	3
bitney college preparatory high school  bcphs  is a high school located in nevada county california	2
knema hookeriana  sometimes misspelled  k hookerana  is a species of plant in the myristicaceae family it is found in indonesia malaysia singapore and thailand	11
norfolk southern tower is one of the major distinctive and recognizable features of downtown norfolk virginia united states the building is notable as being the corporate headquarters of one of the united states' eight class i railroads norfolk southern	7
s dersjukhuset  s s  is one of the largest hospitals in stockholm sweden constructed between 1937 and 1944 it was designed by architects hjalmar cederstr m and h imh user s dersjukhuset has the largest emergency department in northern europe king gustaf v inaugurated s dersjukhuset on 3 april 1944	7
longsands academy is a coeducational secondary school and sixth form with academy status located in the town of st neots cambridgeshire england	2
the gray ghost is a 1917 american crime drama film serial directed by stuart paton it is presumed to be lost	13
laurence michael yep  chinese: pinyin: y xi ngti n born june 14 1948  is a prolific chinese american writer best known for children 's books in 2005 he received the biennial laura ingalls wilder medal for his career contribution to american children 's literature	3
toronto district christian high school  tdchristian  is an independent christian secondary school located in woodbridge ontario canada it was founded in 1960 and began classes in 1963 tdch currently has an enrollment of about 450 students tdch is a member of the ontario alliance of christian schools	2
the collection is the third greatest hits album by american singer belinda carlisle released in the uk on march 17 2014 by demon music group	12
saint germain was a 3492 grt train ferry which was built in 1951 by helsing r skibs og maskinbyggeri for sncf she served until 1988 when she was withdrawn from service and scrapped	6
bernard beuken is a belgian former footballer who played as a defender	4
stratford upon avon college is an english further education college in stratford upon avon warwickshire	2
alcantarea vinicolor is a species of the genus alcantarea this species is endemic to brazil	11
uss lst 566 was a united states navy lst 542 class tank landing ship in commission from 1944 to 1946 from 1952 to 1973 she served in a non commissioned status in the military sea transportation service and the military sealift command as usns lst 566  t lst 566 	6
fuerte esperanza is a village and municipality in chaco province in northern argentina	9
down south is the title of a recording by american folk music artists doc watson and merle watson released in 1984 it has been reissued on cd by rykodisc and sugar hill	12
quercus prinoides commonly known as dwarf chinkapin oak dwarf chinquapin oak dwarf chestnut oak or scrub chestnut oak is a shrubby clone forming oak native to eastern north america ranging from massachusetts to the carolinian forest zone of southern ontario to minnesota south to north carolina and oklahoma	11
danube company limited is a supermarket and hypermarket chain in saudi arabia it opened in 1987 and has operations in the cities of jeddah riyadh madinah and makkah in saudi arabia citation needed it is owned and operated by the bindawood group of companies	1
anisotenes oxygrapta is a species of moth of the tortricidae family it is found in new guinea	10
kimani ffriend  born july 29 1977  is a jamaican professional basketball player he last played for metalac valjevo in serbia	4
get away clean is the debut album by master p released on february 11 1991 through no limit records master p sold this album from the trunk of his car around richmond california	12
corsair memory is an american computer peripherals and hardware company headquartered in fremont california the company was incorporated in california in january 1994 and was reincorporated in delaware in 2007 in january 2010 the company was incorporated again in delaware as corsair components inc	1
allied domecq plc was an international company headquartered in bristol uk that operated spirits wine and quick service restaurant businesses it was once a ftse 100 index constituent but has been acquired by pernod ricard	1
susan elizabeth phillips  b december 11 in cincinnati ohio  is an award winning and best selling american writer of romance novels	3
thes one born christopher cesar portugal in torrance california on october 18 1977 to an american mother and immigrant peruvian father is one half of hip hop duo people under the stairs serving as a vocalist mc producer engineer and business manager	3
cyclamen hederifolium  ivy leaved cyclamen or sowbread  is a species of flowering plant in the genus cyclamen of the family myrsinaceae  previously primulaceae  it is the most widespread cyclamen species the most widely cultivated after the florist 's cyclamen  cyclamen persicum  and the most hardy and vigorous in oceanic climates	11
ysgol glanwydden is a welsh primary school in glanwydden near llandudno for 3 11 year olds the school celebrated its hundred year anniversary in 2010 with the building being completed in 1910 and opening to students in spring 1911 in october 2010 the school had 274 pupils	2
scoparia claranota is a moth of the crambidae family it was described by howes in 1946 it is found in new zealand	10
the douglas union school at 130 center st in douglas michigan was built in 1866 it was listed on the national register of historic places in 1995	7
living in a moon so blue is the fifth jandek album and was issued as corwood 0743 in 1982 it was reissued on cd in 2001	12
dark possession is a paranormal suspense novel written by american author christine feehan published in 2004 it is the 18th book in her dark series	14
william a redmond was a member of the illinois house of representatives representing portions of dupage county from 1959 until his retirement in 1981 during the 79th 80th and 81st general assemblies he served as speaker of the house	5
aleksandr yuryevich kobzev  russian: born may 4 1989  is a russian professional football player currently playing for fc metallurg lipetsk in the russian second division	4
abbasabad  persian: also romanized as abb s b d also known as mor dlar  is a village in virmuni rural district in the central district of astara county gilan province iran at the 2006 census its population was 3623 in 888 families	9
st joseph 's school  sjs  is a primary to secondary school in abu dhabi united arab emirates	2
jerry 's enterprises inc is an operator of county market cub foods jerry 's foods and save a lot grocery stores headquartered in edina minnesota	1
tolombeh ye mohammad sabz alian  persian: also romanized as tolombeh ye mo ammad sabz al n  is a village in khursand rural district in the central district of shahr e babak county kerman province iran at the 2006 census its population was 51 in 10 families	9
dictyoloma is a genus of flowering plants that belongs to the family rutaceae	11
cicerbita is a genus of flowering plants in the aster family asteraceae native to asia and europe they are known commonly as blue sow thistles the word cicerbita is from the italian meaning chickory like a comparison to cichorium the chicory genus	11
guilt is the second studio album from washington heights manhattan rapper mims the album was released on april 7 2009	12
the daihatsu sonica is a kei car produced by the japanese manufacturer daihatsu since 2005 it was retired in 2009 without a direct successor	6
waltteri immonen  born april 3 1967 in helsinki finland  is a retired professional ice hockey defenseman and former coach of sm liiga team jokerit	4
micranthus is a genus of flowering plants in the family iridaceae the genus name is derived from the greek words micro meaning small and anthos meaning flower	11
andrew lang  31 march 1844 20 july 1912  was a scots poet novelist literary critic and contributor to the field of anthropology he is best known as a collector of folk and fairy tales the andrew lang lectures at the university of st andrews are named after him	3
taineh  persian: also romanized as neh and t ' neh  is a village in avalan rural district muchesh district kamyaran county kurdistan province iran at the 2006 census its population was 264 in 52 families	9
elli m cke  born 1981 1 or 1978 2  is a german singer in 2003 she was a member of polish pop group ich troje her song  with micha wi niewski  liebe macht spa was in german eurovision 2003	3
rejoice is an album by christian band 2nd chapter of acts	12
zawisza czarny is the name of two polish sailing ships owned by the polish scouting and guiding association zhp	6
robert desha  january 14 1791 february 6 1849  was an american politician who represented tennessee 's 5th congressional district in the united states house of representatives	5
cardinal stritch catholic high school  cschs  is a private catholic coeducational college prep secondary school located in oregon ohio it is part of the roman catholic diocese of toledo	2
for the new york politician see william north william campbell north was a member of the wisconsin legislature	5
the wilson lenox house also known as the marvin ditmer house is a historic house west of sidney in washington township shelby county ohio united states built in the dutch colonial style the house was built in the 1810s it was the first brick house in shelby county	7
monticalia myrsinites is a species of flowering plant in the asteraceae family it is found only in ecuador its natural habitats are subtropical or tropical moist montane forests and subtropical or tropical high altitude shrubland it is threatened by habitat loss	11
